country_code;region_name;iata;icao;airport;latitude;longitude
CO;Amazonas;ECO;;El Encanto Airport;-1,75333;-73,20470
CO;Amazonas;LCR;;La Chorrera Airport;-0,73333;-73,01670
CO;Amazonas;LET;SKLT;Alfredo Vasquez Cobo International Airport;-4,19355;-69,94320
CO;Amazonas;LPD;SKLP;La Pedrera Airport;-1,32861;-69,57970
CO;Amazonas;SSD;SCSF;San Felipe Airport;-32,74580;-70,70500
CO;Amazonas;TCD;SKRA;Tarapaca Airport;-2,89472;-69,74720
CO;Antioquia;ADN;SKAN;Andes Airport;5,69764;-75,88040
CO;Antioquia;AFI;SKAM;Amalfi Airport (Colombia);6,91667;-75,06670
CO;Antioquia;APO;SKLC;Antonio Roldan  Betancourt Airport;7,81196;-76,71640
CO;Antioquia;ARO;;Arboletes Airport;8,85705;-76,42440
CO;Antioquia;CAQ;SKCU;Juan H. White Airport;7,96847;-75,19850
CO;Antioquia;EBG;SKEB;El Bagre Airport (El Tomin Airport);7,59647;-74,80890
CO;Antioquia;EOH;SKMD;Olaya Herrera Airport;6,22055;-75,59060
CO;Antioquia;IGO;SKIG;Jaime Ortiz Betancur Airport;7,68038;-76,68650
CO;Antioquia;MDE;SKRG;Jose Maria Cordova International Airport;6,16454;-75,42310
CO;Antioquia;NAR;SKPN;Puerto Nare Airport;6,21002;-74,59060
CO;Antioquia;NCI;SKNC;Antioquia Airport;8,45000;-76,78330
CO;Antioquia;NPU;;San Pedro de Uraba Airport;8,28597;-76,38040
CO;Antioquia;OTU;SKOT;Otu Airport;7,01037;-74,71550
CO;Antioquia;PBE;SKPR;Morela Airport (Puerto Berrio Airport;6,46034;-74,41050
CO;Antioquia;SJR;;San Juan de Uraba Airport;8,76667;-76,53330
CO;Antioquia;SMC;;Santa Maria Airport;8,15000;-77,05000
CO;Antioquia;TRB;SKTU;Gonzalo Mejia Airport;8,07453;-76,74150
CO;Antioquia;ULS;;Mulatos Airport;8,65000;-76,75000
CO;Antioquia;UNC;;Unguia Airport;8,03333;-77,08330
CO;Antioquia;URR;SKUR;Urrao Airport;6,32883;-76,14250
CO;Arauca;ARQ;SKAT;El Troncal Airport;7,02106;-71,38890
CO;Arauca;AUC;SKUC;Santiago Perez  Quiroz Airport;7,06888;-70,73690
CO;Arauca;RAV;SKCN;Cravo Norte Airport;6,31684;-70,21070
CO;Arauca;RVE;SKSA;Los Colonizadores Airport;6,95187;-71,85720
CO;Arauca;TME;SKTM;Gabriel Vargas Santos Airport;6,45108;-71,76030
CO;Atlantico;BAQ;SKBQ;Ernesto Cortissoz International Airport;10,88960;-74,78080
CO;Bolivar;CTG;SKCG;Rafael Nunez International Airport;10,44240;-75,51300
CO;Bolivar;MGN;SKMG;Baracoa Regional Airport;9,28474;-74,84610
CO;Bolivar;MMP;SKMP;San Bernardo Airport;9,79911;-74,78600
CO;Boyaca;GCA;;Guacamayas Airport;2,28333;-74,95000
CO;Boyaca;MOY;;Monterrey Airport;4,90693;-72,89480
CO;Boyaca;PYA;SKVL;Velasquez Airport;5,93904;-74,45700
CO;Boyaca;RON;SKPA;Juan Jose Rondon;6,28300;-71,08300
CO;Boyaca;SJG;;San Pedro de Jagua Airport;4,65000;-73,33330
CO;Boyaca;SOX;SKSO;Alberto Lleras Camargo Airport;5,67732;-72,97030
CO;Boyaca;TAU;SKTA;Tauramena Airport;5,01281;-72,74240
CO;Caldas;MZL;SKMZ;La Nubia Airport (Santaguida Airport);5,02960;-75,46470
CO;Caqueta;ACR;SKAC;Araracuara Airport;-0,58330;-72,40830
CO;Caqueta;AYG;SKYA;Yaguara Airport;1,54417;-73,93330
CO;Caqueta;CQT;;Caquetania Airport;2,03333;-74,21670
CO;Caqueta;CUI;;Curillo Airport;4,66667;-72
